time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.375733855185909249e+01,7.081910554700517890e-01,3.670411349314385285e-01,9.441058419247959632e-01,3.286530745507724172e-01,1.477636735362832798e-01,5.264777791317069022e-01
3.385518590998042754e+01,7.126052907781771362e-01,3.692209043639430588e-01,9.505771159089688727e-01,3.309279013204675657e-01,1.487823631815628489e-01,5.281462886002536994e-01
3.395303326810176259e+01,7.169616225120921671e-01,3.714943054945291645e-01,9.567352400521528244e-01,3.331165386414012830e-01,1.498267469211436720e-01,5.300049658037685463e-01
3.405088062622309053e+01,7.212595232935026246e-01,3.738705587802783059e-01,9.625680550762528709e-01,3.352394945282441974e-01,1.509088007913249041e-01,5.320725559662603521e-01
3.414872798434441847e+01,7.254978976166756022e-01,3.763573227506264440e-01,9.680627113403189599e-01,3.373197998848822543e-01,1.520405713274216863e-01,5.343689517834686598e-01
3.424657534246575352e+01,7.296746244824726668e-01,3.789602395796720646e-01,9.732053992740166137e-01,3.393809315893084322e-01,1.532335831029646711e-01,5.369148714814434564e-01
3.434442270058708857e+01,7.337864271817199358e-01,3.816825816288272888e-01,9.779816420500307972e-01,3.414446756453636267e-01,1.544983331465933918e-01,5.397314512563231581e-01
3.444227005870841651e+01,7.378290772475166737e-01,3.845250456686684082e-01,9.823771392844639072e-01,3.435292747729488672e-01,1.558439221915843553e-01,5.428397357164068682e-01
3.454011741682974446e+01,7.417978699578843260e-01,3.874857116362129261e-01,9.863790499923995592e-01,3.456481652553939909e-01,1.572778482336904537e-01,5.462600496044791587e-01
3.463796477495107240e+01,7.456882520912540002e-01,3.905601496436983955e-01,9.899775213641304195e-01,3.478094924249131026e-01,1.588059621188819270e-01,5.500112359931483841e-01
3.473581213307240745e+01,7.494964558809753541e-01,3.937416331598535546e-01,9.931672243404136013e-01,3.500164367259596121e-01,1.604325629831868660e-01,5.541097511543848775e-01
3.483365949119373539e+01,7.532200035684537553e-01,3.970214050447818388e-01,9.959486566120638873e-01,3.522682306833139210e-01,1.621605965245222214e-01,5.585686153394121556e-01
3.493150684931506333e+01,7.568579895396151391e-01,4.003889479234618576e-01,9.983290171895247145e-01,3.545616411620407527e-01,1.639919121655097345e-01,5.633962326410811849e-01
3.502935420743639838e+01,7.604111069553771696e-01,4.038322273974809806e-01,1.000322532628090011e+00,3.568926475692234535e-01,1.659275350910094093e-01,5.685951124656420941e-01
3.512720156555773343e+01,7.638814447482806802e-01,4.073378989398627192e-01,1.001950205230206503e+00,3.592580577619488569e-01,1.679679137643007025e-01,5.741605496255572927e-01
3.522504892367906137e+01,7.672721235756868596e-01,4.108914897937049893e-01,1.003239038568351171e+00,3.616568488899462031e-01,1.701131105422006851e-01,5.800793480381470912e-01
3.532289628180038932e+01,7.705868577753376414e-01,4.144775803896044719e-01,1.004220859829912715e+00,3.640910790480921255e-01,1.723629106539957545e-01,5.863287009936657412e-01
3.542074363992171726e+01,7.738295247484232586e-01,4.180800131795531227e-01,1.004930893401151604e+00,3.665662730437600492e-01,1.747168321505154220e-01,5.928753634467659461e-01
3.551859099804305231e+01,7.770038001405759065e-01,4.241234209392907850e-01,1.005406245381277319e+00,3.690912357338688721e-01,1.771740263279706074e-01,5.996752617507911109e-01
3.561643835616438025e+01,7.801128866623053826e-01,4.320768234011121423e-01,1.005684440220337539e+00,3.716772898771487088e-01,1.797330649589483076e-01,6.066736764750969568e-01
3.571428571428570820e+01,7.831593363836804045e-01,4.401868712342454915e-01,1.005802117533278528e+00,3.743369771033747129e-01,1.823916179400330850e-01,6.138060992519779324e-01
