time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.620352250489236923e+01,9.232582051956421676e-01,7.830976763740967739e-01,1.116369419923387118e+00,3.749815666180668638e-01,1.063603995160713189e-01,6.751618551403903989e-01
3.630136986301369717e+01,9.249095356581864547e-01,7.869260748107803627e-01,1.113513155608809591e+00,3.769290423699079295e-01,1.075232085705455504e-01,6.724945841669530688e-01
3.639921722113502511e+01,9.265740838675439184e-01,7.906941848664789108e-01,1.110702212303461334e+00,3.786919551640371417e-01,1.086735553694826023e-01,6.724561966627523590e-01
3.649706457925635306e+01,9.282571296024730856e-01,7.943818278295350366e-01,1.107962363085261082e+00,3.802897319114258989e-01,1.098118199277898777e-01,6.773487685064746300e-01
3.659491193737768810e+01,9.299633512640040900e-01,7.979650193159429916e-01,1.105317922646875672e+00,3.817444496551488653e-01,1.109378687403072550e-01,6.813886998339816481e-01
3.669275929549902315e+01,9.316969893073430153e-01,8.014182748617849628e-01,1.102791159183049707e+00,3.830800650313485600e-01,1.120506262247492474e-01,6.846269811418469464e-01
3.679060665362035110e+01,9.334621050085321059e-01,8.047175446777460328e-01,1.100401837930121696e+00,3.843214719922235512e-01,1.131477217155481552e-01,6.871361979406477305e-01
3.688845401174167904e+01,9.352628913357857732e-01,8.078434848611242280e-01,1.098166914871214539e+00,3.854934461739716878e-01,1.142252585034519846e-01,6.890061718558317949e-01
3.698630136986301409e+01,9.371039834264094370e-01,8.094133102284704062e-01,1.096100385950835809e+00,3.866195541727932006e-01,1.152777322822283457e-01,6.903384895138706678e-01
3.708414872798434203e+01,9.389907162474152580e-01,8.073208764643233781e-01,1.094213286496010573e+00,3.877211155676128507e-01,1.162981019473290356e-01,6.912405039896825087e-01
3.718199608610566997e+01,9.409292862158145088e-01,8.053293221076885944e-01,1.092513828235732953e+00,3.888163049625848466e-01,1.172779936885607888e-01,6.918194688646300827e-01
3.727984344422699792e+01,9.429267893818222834e-01,8.034481069674775933e-01,1.091007657022192934e+00,3.899194731001504599e-01,1.182080066911657679e-01,6.921774124762233305e-01
3.737769080234833297e+01,9.449911272293686215e-01,8.016872620075171652e-01,1.089698212004252653e+00,3.910407530540012111e-01,1.190780883718032118e-01,6.924071937637998886e-01
3.747553816046966801e+01,9.471307880221813136e-01,8.000582062807166661e-01,1.088587165327496109e+00,3.921860010961402132e-01,1.198779565706725447e-01,6.925899487748315986e-01
3.757338551859099596e+01,9.493545238484399906e-01,7.985742422092803050e-01,1.087674919510702720e+00,3.933571014772642704e-01,1.205975595119370414e-01,6.927939005650490811e-01
3.767123287671232390e+01,9.516709499285778140e-01,7.972506458698985776e-01,1.086961137137319344e+00,3.945526380696293689e-01,1.212275749582285150e-01,6.930743190748194227e-01
3.776908023483365895e+01,9.540880940792895171e-01,7.961043058684587059e-01,1.086445274619748158e+00,3.957689016417006989e-01,1.217599529384925244e-01,6.934743118823550878e-01
3.786692759295499400e+01,9.566129224397823538e-01,7.951529096189179358e-01,1.086127089110648480e+00,3.970011594992551296e-01,1.221884997349624996e-01,6.940261040790449698e-01
3.796477495107632194e+01,9.592508649662754294e-01,7.944137247542519820e-01,1.088124140917346550e+00,3.982450681006328708e-01,1.225094853194797079e-01,6.947525074216747143e-01
3.806262230919764988e+01,9.620053626627689258e-01,7.939020703147389169e-01,1.094610025771796336e+00,3.994980670538721967e-01,1.227222352311329728e-01,6.956683574772680734e-01
3.816046966731897783e+01,9.648774590563539144e-01,7.936296119451416997e-01,1.100868632488879895e+00,4.007605655358282282e-01,1.228296457152614068e-01,6.967817858803111442e-01
3.825831702544031288e+01,9.678654610785351053e-01,7.936026437582409665e-01,1.106882960837684005e+00,4.020367305119235124e-01,1.228385435506332973e-01,6.980952736149117488e-01
3.835616438356164082e+01,9.709646983959127065e-01,7.938205348104587777e-01,1.112636069962109842e+00,4.033347179002061411e-01,1.227598053782923693e-01,6.996064899557059569e-01
